表層形, 品詞
おれ,名詞
たち,名詞
の,助詞
一族,名詞
で,助詞
も,助詞
、,記号
ほん,名詞
もの,名詞
の,助詞
貴族,名詞
は,助詞
、,記号
まあ,副詞
、,記号
ママ,名詞
くらい,助詞
の,助詞
もの,名詞
だろ,助動詞
う,助動詞
。,記号
あれ,名詞
は,助詞
、,記号
ほん,名詞
もの,名詞
だ,助動詞
よ,助詞
。,記号
かなわ,動詞
ねえ,助動詞
ところ,名詞
が,助詞
ある,動詞
」,記号
スウプ,名詞
の,助詞
いただき,名詞
かた,名詞
に,助詞
し,動詞
て,助詞
も,助詞
、,記号
私,名詞
たち,名詞
なら,助動詞
、,記号
お,接頭詞
皿,名詞
の,助詞
上,名詞
に,助詞
すこし,副詞
うつむき,動詞
、,記号
そうして,接続詞
スプウン,名詞
を,助詞
横,名詞
に,助詞
持っ,動詞
て,助詞
スウプ,名詞
を,助詞
掬い,動詞
、,記号
スプウン,名詞
を,助詞
横,名詞
に,助詞
し,動詞
た,助動詞
まま,名詞
口元,名詞
に,助詞
運ん,動詞
で,助詞
いただく,動詞
の,名詞
だ,助動詞
けれども,助詞
、,記号
お母さま,名詞
は,助詞
左手,名詞
の,助詞
お,接頭詞
指,名詞
を,助詞
軽く,形容詞
テーブル,名詞
の,助詞
縁,名詞
にかけて,助詞
、,記号
上体,名詞
を,助詞
かがめる,動詞
事,名詞
も,助詞
無く,形容詞
、,記号
お,接頭詞
顔,名詞
を,助詞
しゃんと,副詞
挙げ,動詞
て,助詞
、,記号
お,接頭詞
皿,名詞
を,助詞
ろくに,副詞
見,動詞
も,助詞
せ,動詞
ず,助動詞
スプウン,名詞
を,助詞
横,名詞
に,助詞
し,動詞
て,助詞
さっと,副詞
掬っ,動詞
て,助詞
、,記号
それから,接続詞
、,記号
燕,名詞
の,助詞
よう,名詞
に,助詞
、,記号
と,助詞
でも,助詞
形容,名詞
し,動詞
たい,助動詞
くらい,助詞
に,助詞
軽く,形容詞
鮮やか,名詞
に,助詞
スプウン,名詞
を,助詞
お,接頭詞
口,名詞
と,助詞
直角,名詞
に,助詞
なる,動詞
よう,名詞
に,助詞
持ち運ん,動詞
で,助詞
、,記号
スプウン,名詞
の,助詞
尖端,名詞
から,助詞
、,記号
スウプ,名詞
を,助詞
お,接頭詞
唇,名詞
の,助詞
あいだ,名詞
に,助詞
流し込む,動詞
の,名詞
で,助動詞
ある,助動詞
。,記号
そうして,接続詞
、,記号
無心,名詞
そう,名詞
に,助詞
あちこち,名詞
傍,名詞
見,動詞
など,助詞
なさ,動詞
り,助動詞
ながら,助詞
、,記号
ひらり,副詞
ひらり,副詞
と,助詞
、,記号
まるで,副詞
小さな,連体詞
翼,名詞
の,助詞
よう,名詞
に,助詞
スプウン,名詞
を,助詞
あつかい,動詞
、,記号
スウプ,名詞
を,助詞
一滴,名詞
も,助詞
お,接頭詞
こぼし,動詞
に,助詞
なる,動詞
事,名詞
も,助詞
無い,形容詞
し,助詞
、,記号
吸う,動詞
音,名詞
も,助詞
お,接頭詞
皿,名詞
の,助詞
音,名詞
も,助詞
、,記号
ちっとも,副詞
お,接頭詞
立て,名詞
に,助詞
なら,動詞
ぬ,助動詞
の,名詞
だ,助動詞
。,記号
それ,名詞
は,助詞
所,名詞
謂,名詞
正式,名詞
礼法,名詞
に,助詞
かなっ,動詞
た,助動詞
いただき,動詞
方,名詞
で,助詞
は,助詞
無い,形容詞
かも,助詞
知れ,動詞
ない,助動詞
けれども,助詞
、,記号
私,名詞
の,助詞
目,名詞
に,助詞
は,助詞
、,記号
とても,副詞
可愛らしく,形容詞
、,記号
それ,名詞
こそ,助詞
ほん,名詞
も,助詞
の,助詞
みたい,名詞
に,助詞
見える,動詞
。,記号
また,接続詞
、,記号
事実,名詞
、,記号
お,接頭詞
飲物,名詞
は,助詞
、,記号
口,名詞
に,助詞
流し込む,動詞
よう,名詞
に,助詞
し,動詞
て,助詞
いただい,動詞
た,助動詞
ほう,名詞
が,助詞
、,記号
不思議,名詞
な,助動詞
くらい,助詞
に,助詞
おいしい,形容詞
もの,名詞
だ,助動詞
。,記号
けれども,接続詞
、,記号
私,名詞
は,助詞
直,接頭詞
治,名詞
の,助詞
言う,動詞
よう,名詞
な,助動詞
高等,名詞
御,接頭詞
乞食,名詞
な,助動詞
の,名詞
だ,助動詞
から,助詞
、,記号
お母さま,名詞
の,助詞
よう,名詞
に,助詞
あんなに,副詞
軽く,形容詞
無,接頭詞
雑作,名詞
に,助詞
スプウン,名詞
を,助詞
あやつる,動詞
事,名詞
が,助詞
出来,動詞
ず,助動詞
、,記号
仕方,名詞
なく,助動詞
、,記号
あきらめ,動詞
て,助詞
、,記号
お,接頭詞
皿,名詞
の,助詞
上,名詞
に,助詞
うつむき,動詞
、,記号
所,名詞
謂,名詞
正式,名詞
礼法,名詞
どおり,名詞
の,助詞
陰気,名詞
な,助動詞
いただき,動詞
方,名詞
を,助詞
し,動詞
て,助詞
いる,動詞
の,名詞
で,助動詞
ある,助動詞
。,記号
スウプ,名詞
に,助詞
限ら,動詞
ず,助動詞
、,記号
お母さま,名詞
の,助詞
食事,名詞
の,助詞
いただき,名詞
方,名詞
は,助詞
、,記号
頗る,副詞
礼法,名詞
に,助詞
はずれ,動詞
て,助詞
いる,動詞
。,記号
お,接頭詞
肉,名詞
が,助詞
出る,動詞
と,助詞
、,記号
ナイフ,名詞
と,助詞
フオク,名詞
で,助詞
、,記号
さっさと,副詞
全部,名詞
小さく,形容詞
切り,動詞
わけ,動詞
