表層形, 品詞
、,記号
救い,名詞
の,助詞
無い,形容詞
地獄,名詞
だろ,助動詞
う,助動詞
、,記号
と,助詞
生れ,動詞
て,助詞
はじめて,副詞
気がつい,動詞
た,助動詞
思い,名詞
で,助詞
、,記号
胸,名詞
が,助詞
一ぱい,名詞
に,助詞
なり,動詞
、,記号
あまり,名詞
苦しく,形容詞
て,助詞
泣き,動詞
たく,助動詞
て,助詞
も,助詞
泣け,動詞
ず,助動詞
、,記号
人生,名詞
の,助詞
厳粛,名詞
と,助詞
は,助詞
、,記号
こんな,連体詞
時,名詞
の,助詞
感じ,名詞
を,助詞
言う,動詞
の,名詞
で,助動詞
あろ,助動詞
う,助動詞
か,助詞
、,記号
身動き,名詞
一つ,名詞
出来,動詞
ない,助動詞
気持,名詞
で,助詞
、,記号
仰,動詞
向,名詞
に,助詞
寝,動詞
た,助動詞
まま,名詞
、,記号
私,名詞
は,助詞
石,名詞
の,助詞
よう,名詞
に,助詞
凝っ,動詞
と,助詞
し,動詞
て,助詞
い,動詞
た,助動詞
。,記号
翌,接頭詞
る,助動詞
日,名詞
、,記号
お母さま,名詞
は,助詞
、,記号
やはり,副詞
お,接頭詞
顔色,名詞
が,助詞
悪く,形容詞
、,記号
なお,接続詞
何やら,副詞
ぐずぐず,副詞
し,動詞
て,助詞
、,記号
少し,副詞
でも,助詞
永く,形容詞
この,連体詞
お家,名詞
に,助詞
いらっ,動詞
し,助動詞
ゃりたい,名詞
様子,名詞
で,助動詞
あっ,助動詞
た,助動詞
が,助詞
、,記号
和田,名詞
の,助詞
叔父,名詞
さま,名詞
が,助詞
見え,動詞
られ,動詞
て,助詞
、,記号
もう,副詞
荷物,名詞
は,助詞
ほとんど,副詞
発送,名詞
し,動詞
て,助詞
しまっ,動詞
た,助動詞
し,助詞
、,記号
きょう,名詞
伊豆,名詞
に,助詞
出発,名詞
、,記号
と,助詞
お,接頭詞
言いつけ,動詞
に,助詞
なっ,動詞
た,助動詞
ので,助詞
、,記号
お母さま,名詞
は,助詞
、,記号
しぶしぶ,副詞
コート,名詞
を,助詞
着,動詞
て,助詞
、,記号
お,接頭詞
わかれ,動詞
の,助詞
挨拶,名詞
を,助詞
申し上げる,動詞
お,接頭詞
君,名詞
や,助詞
、,記号
出入,名詞
の,助詞
ひと,名詞
たち,名詞
に,助詞
無言,名詞
で,助詞
お,接頭詞
会釈,名詞
なさっ,動詞
て,助詞
、,記号
叔父,名詞
さま,名詞
と,助詞
私,名詞
と,助詞
三,名詞
人,名詞
、,記号
西片,名詞
町,名詞
の,助詞
お家,名詞
を,助詞
出,動詞
た,助動詞
。,記号
汽車,名詞
は,助詞
割,名詞
に,助詞
空い,動詞
て,助詞
い,動詞
て,助詞
、,記号
三,名詞
人,名詞
と,助詞
も,助詞
腰かけ,動詞
られ,動詞
た,助動詞
。,記号
汽車,名詞
の,助詞
中,名詞
で,助詞
は,助詞
、,記号
叔父,名詞
さま,名詞
は,助詞
非常,名詞
な,助動詞
上機嫌,名詞
で,助詞
うたい,動詞
など,助詞
唸っ,動詞
て,助詞
いらっしゃっ,動詞
た,助動詞
が,助詞
、,記号
お母さま,名詞
は,助詞
お,接頭詞
顔色,名詞
が,助詞
悪く,形容詞
、,記号
うつむい,動詞
て,助詞
、,記号
とても,副詞
寒,形容詞
そう,名詞
に,助詞
し,動詞
て,助詞
い,動詞
らし,助動詞
た,助動詞
。,記号
三島,名詞
で,助詞
駿,名詞
豆,名詞
鉄道,名詞
に,助詞
乗りかえ,動詞
、,記号
伊豆長岡,名詞
で,助詞
下車,名詞
し,動詞
て,助詞
、,記号
それから,接続詞
バス,名詞
で,助詞
十,名詞
五,名詞
分,名詞
くらい,助詞
で,助動詞
降り,動詞
て,助詞
から,助詞
山,名詞
の,助詞
ほう,名詞
に,助詞
向っ,動詞
て,助詞
、,記号
ゆるやか,名詞
な,助動詞
坂道,名詞
を,助詞
のぼっ,動詞
て,助詞
行く,動詞
と,助詞
、,記号
小さい,形容詞
部落,名詞
が,助詞
あっ,動詞
て,助詞
、,記号
その,連体詞
部落,名詞
の,助詞
はずれ,名詞
に,助詞
、,記号
支那,名詞
ふう,名詞
の,助詞
、,記号
ちょっと,副詞
こっ,動詞
た,助動詞
山荘,名詞
が,助詞
あっ,動詞
た,助動詞
。,記号
「,記号
お母さま,名詞
、,記号
思っ,動詞
た,助動詞
より,助詞
も,助詞
いい,形容詞
所,名詞
ね,助詞
」,記号
と,フィラー
私,名詞
は,助詞
息,名詞
を,助詞
はずま,動詞
せ,動詞
て,助詞
言っ,動詞
た,助動詞
。,記号
「,記号
そう,副詞
ね,助詞
」,記号
と,フィラー
お母さま,名詞
も,助詞
、,記号
山荘,名詞
の,助詞
玄関,名詞
の,助詞
前,名詞
に,助詞
立っ,動詞
て,助詞
、,記号
一瞬,名詞
うれし,形容詞
そう,名詞
な,助動詞
眼,名詞
つき,名詞
を,助詞
なさっ,動詞
た,助動詞
。,記号
「,記号
だいいち,副詞
、,記号
空気,名詞
が,助詞
いい,形容詞
。,記号
清浄,名詞
な,助動詞
空気,名詞
です,助動詞
」,記号
と,フィラー
叔父,名詞
さま,名詞
は,助詞
、,記号
ご,接頭詞
自慢,名詞
なさっ,動詞
た,助動詞
。,記号
「,記号
本当に,副詞
」,記号
と,フィラー
お母さま,名詞
は,助詞
微笑ま,動詞
れ,動詞
て,助詞
、,記号
「,記号
おいしい,形容詞
。,記号
ここ,名詞
の,助詞
空気,名詞
は,助詞
、,記号
おいしい,形容詞
」,記号
と,助詞
おっしゃっ,動詞
た,助動詞
。,記号
そうして,接続詞
、,記号
三,名詞
人,名詞
で,助詞
笑っ,動詞
た,助動詞
。,記号
玄関,名詞
に,助詞
は,助詞
いっ,動詞
て,助詞
みる,動詞
と,助詞
、,記号
もう,副詞
東京,名詞
から,助詞
の,助詞
お,接頭詞
荷物,名詞
が,助詞
着い,動詞
て,助詞
い,動詞
て,助詞
、,記号
玄関,名詞
から,助詞
お,接頭詞
部屋,名詞
から,助詞
お,接頭詞
荷物,名詞
で,助詞
一ぱい,名詞
に,助詞
なっ,動詞
て,助詞
い,動詞
た,助動詞
。,記号
「,記号
次,名詞
に,助詞
は,助詞
、,記号
お座敷,名詞
から,助詞
の,助詞
眺め,名詞
が,助詞
よい,形容詞
」,記号
叔父,名詞
さま,名詞
は,助詞
浮かれ,動詞
て,助詞
、,記号
私,名詞
たち,名詞
を,助詞
お座敷,名詞
に,助詞
引っぱっ,動詞
て,助詞
行っ,動詞
て,助詞
坐ら,動詞
せ,動詞
た,助動詞
。,記号
午後,名詞
の,助詞
三,名詞
時,名詞
頃,名詞
で,助動詞
、,記号
冬,名詞
の,助詞
日,名詞
が,助詞
、,記号
お,接頭詞
庭,名詞
の,助詞
芝生,名詞
に,助詞
やわらかく,形容詞
当っ,動詞
て,助詞
い,動詞
て,助詞
、,記号
芝生,名詞
から,助詞
石段,名詞
を,助詞
降り,動詞
つくし,動詞
た,助動詞
あたり,名詞
に,助詞
小さい,形容詞
お,接頭詞
池,名詞
が,助詞
あり,動詞
、,記号
梅,名詞
の,助詞
木,名詞
が,助詞
たくさん,名詞
あっ,動詞
て,助詞
、,記号
お,接頭詞
庭,名詞
の,助詞
下,名詞
に,助詞
は,助詞
蜜柑,名詞
畑,名詞
が,助詞
ひろがり,動詞
、,記号
それから,接続詞
村,名詞
道,名詞
が,助詞
あっ,動詞
て,助詞
、,記号
その,連体詞
向う,名詞
は,助詞
水田,名詞
で,助詞
、,記号
それから,接続詞
ずっと,副詞
向う,名詞
に,助詞
松林,名詞
が,助詞
あっ,動詞
て,助詞
、,記号
その,連体詞
松林,名詞
の,助詞
向う,名詞
に,助詞
、,記号
海,名詞
が,助詞
見える,動詞
。,記号
海,名詞
は,助詞
、,記号
こうして,接続詞
お座敷,名詞
に,助詞
坐っ,動詞
て,助詞
いる,動詞
と,助詞
、,記号
ちょうど,副詞
私,名詞
の,助詞
お,接頭詞
乳,名詞
の,助詞
さき,名詞
に,助詞
水平,名詞
線,名詞
が,助詞
さわる,動詞
くらい,助詞
の,助詞
高,形容詞
さ,名詞
に,助詞
見え,動詞
た,助動詞
。,記号
「,記号
やわらか,形容詞
な,助詞
景色,名詞
ねえ,助詞
」,記号
と,フィラー
お母さま,名詞
は,助詞
、,記号
もの憂,形容詞
そう,名詞
に,助詞
おっしゃっ,動詞
た,助動詞
。,記号
「,記号
空気,名詞
の,助詞
せい,名詞
かしら,助詞
。,記号
陽,名詞
の,助詞
光,名詞
が,助詞
、,記号
まるで,副詞
東京,名詞
と,助詞
違う,動詞
じゃ,助詞
ない,助動詞
の,助詞
。,記号
光線,名詞
が,助詞
絹ごし,名詞
さ,動詞
れ,動詞
て,助詞
いる,動詞
みたい,名詞
」,記号
と,フィラー
私,名詞
は,助詞
、,記号
はしゃい,動詞
で,助詞
言っ,動詞
た,助動詞
。,記号
十,名詞
畳,名詞
間,名詞
と,助詞
六,名詞
畳,名詞
間,名詞
と,助詞
、,記号
それから,接続詞
支那式,名詞
の,助詞
応接間,名詞
と,助詞
、,記号
それから,接続詞
お,接頭詞
玄関,名詞
が,助詞
三,名詞
畳,名詞
、,記号
お,接頭詞
風呂,名詞
場,名詞
の,助詞
ところ,名詞
に,助詞
も,助詞
三,名詞
畳,名詞
が,助詞
つい,動詞
て,助詞
い,動詞
て,助詞
、,記号
それから,接続詞
食堂,名詞
と,助詞
お勝手,名詞
と,助詞
、,記号
それから,接続詞
お,接頭詞
二,名詞
階,名詞
に,助詞
大きい,形容詞
ベッド,名詞
の,助詞
附い,動詞
た,助動詞
来客,名詞
用,名詞
の,助詞
洋間,名詞
が,助詞
一間,名詞
、,記号
それだけ,副詞
の,助詞
間,名詞
数,名詞
だ,助動詞
けれども,助詞
、,記号
私,名詞
たち,名詞
二,名詞
人,名詞
、,記号
いや,接続詞
、,記号
直治,名詞
が,助詞
帰っ,動詞
て,助詞
三,名詞
人,名詞
に,助詞
なっ,動詞
て,助詞
も,助詞
、,記号
別に,副詞
窮屈,名詞
で,助動詞
ない,助動詞
と,助詞
思っ,動詞
た,助動詞
。,記号
叔父,名詞
さま,名詞
は,助詞
、,記号
この,連体詞
部落,名詞
で,助詞
たった,副詞
一,名詞
軒,名詞
だ,助動詞
という,助詞
宿屋,名詞
へ,助詞
、,記号
お,接頭詞
食事,名詞
を,助詞
交渉,名詞
に,助詞
出かけ,動詞
、,記号
やがて,副詞
とどけ,動詞
られ,動詞
た,助動詞
お,接頭詞
弁当,名詞
を,助詞
、,記号
お座敷,名詞
に,助詞
ひろげ,動詞
て,助詞
御,接頭詞
持参,名詞
の,助詞
ウイスキイ,名詞
を,助詞
お,接頭詞
飲み,動詞
に,助詞
なり,動詞
、,記号
この,連体詞
山荘,名詞
の,助詞
以前,名詞
の,助詞
持主,名詞
で,助詞
いら,動詞
し,動詞
た,助動詞
河田,名詞
子爵,名詞
と,助詞
支那,名詞
で,助詞
遊ん,動詞
だ,助動詞
頃,名詞
の,助詞
失敗談,名詞
など,助詞
語っ,動詞
て,助詞
、,記号
大,接頭詞
陽気,名詞
で,助動詞
あっ,助動詞
た,助動詞
が,助詞
、,記号
お母さま,名詞
は,助詞
、,記号
お,接頭詞
弁当,名詞
に,助詞
も,助詞
ほんの,連体詞
ちょっと,副詞
お,接頭詞
箸,名詞
を,助詞
おつけ,名詞
に,助詞
なっ,動詞
た,助動詞
だけ,助詞
で,助動詞
、,記号
やがて,副詞
、,記号
あたり,名詞
が,助詞
薄暗く,形容詞
なっ,動詞
て,助詞
来,動詞
た,助動詞
頃,名詞
、,記号
「,記号
すこし,副詞
、,記号
この,連体詞
まま,名詞
寝かし,動詞
て,助詞
」,記号
と,フィラー
小さい,形容詞
声,名詞
で,助詞
おっしゃっ,動詞
た,助動詞
。,記号
私,名詞
が,助詞
お,接頭詞
荷物,名詞
の,助詞
中,名詞
から,助詞
お,接頭詞
蒲団,名詞
を,助詞
出し,動詞
て,助詞
、,記号
寝かせ,動詞
て,助詞
あげ,動詞
、,記号
何だか,副詞
ひどく,形容詞
気がかり,名詞
に,助詞
なっ,動詞
て,助詞
来,動詞
た,助動詞
ので,助詞
、,記号
お,接頭詞
荷物,名詞
から,助詞
体温計,名詞
を,助詞
捜し出し,動詞
て,助詞
、,記号
お,接頭詞
熱,名詞
を,助詞
計っ,動詞
て,助詞
み,動詞
たら,助動詞
、,記号
三,名詞
十,名詞
九,名詞
度,名詞
あっ,動詞
た,助動詞
。,記号
叔父,名詞
さま,名詞
も,助詞
おどろい,動詞
た,助動詞
ご,接頭詞
様子,名詞
で,助詞
、,記号
とにかく,副詞
下,名詞
の,助詞
村,名詞
まで,助詞
、,記号
お,接頭詞
医者,名詞
を,助詞
捜し,動詞
に,助詞
出かけ,動詞
られ,動詞
た,助動詞
。,記号
「,記号
お母さま,名詞
！,記号
」,記号
と,フィラー
お呼び,名詞
し,動詞
て,助詞
も,助詞
、,記号
ただ,接続詞
、,記号
うとうと,副詞
し,動詞
て,助詞
いらっしゃる,動詞
。,記号
私,名詞
は,助詞
お母さま,名詞
の,助詞
小さい,形容詞
お,接頭詞
手,名詞
を,助詞
握りしめ,動詞
て,助詞
、,記号
すすり泣い,動詞
た,助動詞
。,記号
お母さま,名詞
が,助詞
、,記号
お,接頭詞
可哀想,名詞
で,助動詞
お,接頭詞
可哀想,名詞
で,助動詞
、,記号
いいえ,感動詞
、,記号
私,名詞
たち,名詞
二,名詞
人,名詞
が,助詞
可哀想,名詞
で,助動詞
可哀想,名詞
で,助動詞
、,記号
いくら,副詞
泣い,動詞
て,助詞
も,助詞
、,記号
とまら,動詞
なかっ,助動詞
た,助動詞
。,記号
泣き,動詞
ながら,助詞
、,記号
ほんとう,名詞
に,助詞
この,連体詞
まま,名詞
お母さま,名詞
と,助詞
一緒,名詞
に,助詞
死に,動詞
たい,助動詞
と,助詞
思っ,動詞
た,助動詞
。,記号
もう,副詞
私,名詞
たち,名詞
は,助詞
、,記号
何,名詞
も,助詞
要ら,動詞
ない,助動詞
。,記号
私,名詞
たち,名詞
の,助詞
人生,名詞
は,助詞
、,記号
西片,名詞
町,名詞
の,助詞
お家,名詞
を,助詞
出,動詞
た,助動詞
時,名詞
に,助詞
、,記号
もう,副詞
終っ,動詞
た,助動詞
の,名詞
だ,助動詞
と,助詞
思っ,動詞
た,助動詞
。,記号
二,名詞
時間,名詞
ほど,助詞
し,動詞
て,助詞
叔父,名詞
さま,名詞
が,助詞
、,記号
村,名詞
の,助詞
先生,名詞
を,助詞
連れ,動詞
て,助詞
来ら,動詞
れ,動詞
た,助動詞
。,記号
村,名詞
の,助詞
先生,名詞
は,助詞
、,記号
もう,副詞
だいぶ,副詞
おとし,動詞
寄り,名詞
の,助詞
よう,名詞
で,助動詞
、,記号
そうして,接続詞
仙台平,名詞
の,助詞
袴,名詞
を,助詞
着け,動詞
、,記号
白,名詞
足袋,名詞
を,助詞
はい,動詞
て,助詞
おら,動詞
れ,動詞
た,助動詞
。,記号
ご,接頭詞
診察,名詞
が,助詞
終っ,動詞
て,助詞
、,記号
「,記号
肺炎,名詞
に,助詞
なる,動詞
かも,助詞
知れ,動詞
ませ,助動詞
ん,助動詞
で,助動詞
ござい,助動詞
ます,助動詞
。,記号
けれども,接続詞
、,記号
肺炎,名詞
に,助詞
なり,動詞
まし,助動詞
て,助詞
も,助詞
、,記号
御,接頭詞
心配,名詞
は,助詞
ござい,助動詞
ませ,助動詞
ん,助動詞
」,記号
と,助詞
、,記号
何,名詞
だ,助動詞
かた,名詞
より,助詞
無い,形容詞
事,名詞
を,助詞
おっしゃっ,動詞
て,助詞
、,記号
注射,名詞
を,助詞
し,動詞
て,助詞
下さっ,動詞
て,助詞
帰ら,動詞
れ,動詞
た,助動詞
。,記号
翌,接頭詞
る,助動詞
日,名詞
に,助詞
なっ,動詞
て,助詞
も,助詞
、,記号
お母さま,名詞
の,助詞
お,接頭詞
熱,名詞
は,助詞
、,記号
さがら,動詞
なかっ,助動詞
た,助動詞
。,記号
和田,名詞
の,助詞
叔父,名詞
さま,名詞
は,助詞
、,記号
私,名詞
に,助詞
二,名詞
千,名詞
円,名詞
お,接頭詞
手渡し,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
もし,副詞
万一,副詞
、,記号
入院,名詞
など,助詞
し,動詞
なけれ,助動詞
ば,助詞
なら,動詞
ぬ,助動詞
よう,名詞
に,助詞
なっ,動詞
たら,助動詞
、,記号
東京,名詞
へ,助詞
電報,名詞
を,助詞
打つ,動詞
よう,名詞
に,助詞
、,記号
と,助詞
言い残し,動詞
て,助詞
、,記号
ひとまず,副詞
その,連体詞
日,名詞
に,助詞
帰京,名詞
なさ,動詞
れ,動詞
た,助動詞
。,記号
私,名詞
は,助詞
お,接頭詞
荷物,名詞
の,助詞
中,名詞
から,助詞
最小限,名詞
の,助詞
必要,名詞
な,助動詞
炊事,名詞
道具,名詞
を,助詞
取り出し,動詞
、,記号
おかゆ,名詞
を,助詞
作っ,動詞
て,助詞
お母さま,名詞
に,助詞
すすめ,動詞
た,助動詞
。,記号
お母さま,名詞
は,助詞
、,記号
おやすみ,感動詞
の,助詞
まま,名詞
、,記号
三,名詞
さじ,名詞
お,接頭詞
あがり,動詞
に,助詞
なっ,動詞
て,助詞
、,記号
それから,接続詞
、,記号
首,名詞
を,助詞
振っ,動詞
た,助動詞
。,記号
お昼,名詞
すこし,副詞
前,名詞
に,助詞
、,記号
下,名詞
の,助詞
村,名詞
の,助詞
先生,名詞
が,助詞
また,副詞
見え,動詞
られ,動詞
た,助動詞
。,記号
こんど,名詞
は,助詞
お,接頭詞
袴,名詞
は,助詞
着け,動詞
て,助詞
い,動詞
なかっ,助動詞
た,助動詞
が,助詞
、,記号
白,名詞
足袋,名詞
は,助詞
、,記号
やはり,副詞
は,助詞
い,動詞
て,助詞
おら,動詞
れ,動詞
た,助動詞
。,記号
「,記号
入院,名詞
し,動詞
た,助動詞
ほう,名詞
が,助詞
、,記号
…,記号
…,記号
」,記号
と,フィラー
私,名詞
が,助詞
申し上げ,動詞
たら,助動詞
、,記号
「,記号
いや,接続詞
、,記号
その,連体詞
必要,名詞
は,助詞
、,記号
ござい,助動詞
ませ,助動詞
ん,助動詞
でしょ,助動詞
う,助動詞
。,記号
きょう,名詞
は,助詞
一つ,名詞
、,記号
強い,形容詞
お,接頭詞
注射,名詞
を,助詞
し,動詞
て,助詞
さし,動詞
上げ,動詞
ます,助動詞
から,助詞
、,記号
お,接頭詞
熱,名詞
も,助詞
さがる,動詞
事,名詞
でしょ,助動詞
う,助動詞
」,記号
と,助詞
、,記号
相,接頭詞
変ら,動詞
ず,助動詞
たより,名詞
無い,形容詞
よう,名詞
な,助動詞
お,接頭詞
返事,名詞
で,助詞
、,記号
そうして,接続詞
、,記号
所,名詞
謂,名詞
その,連体詞
強い,形容詞
注射,名詞
を,助詞
し,動詞
て,助詞
お,接頭詞
帰り,名詞
に,助詞
なら,動詞
れ,動詞
た,助動詞
。,記号
けれども,接続詞
、,記号
その,連体詞
強い,形容詞
注射,名詞
が,助詞
奇効,名詞
を,助詞
奏し,動詞
た,助動詞
の,名詞
か,助詞
、,記号
その,連体詞
日,名詞
の,助詞
お昼,名詞
すぎ,名詞
に,助詞
、,記号
お母さま,名詞
の,助詞
お,接頭詞
顔,名詞
が,助詞
真赤,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
そうして,接続詞
お,接頭詞
汗,名詞
が,助詞
ひどく,形容詞
出,動詞
て,助詞
、,記号
お,接頭詞
寝巻,名詞
を,助詞
着,動詞
かえる,動詞
時,名詞
、,記号
お母さま,名詞
は,助詞
笑っ,動詞
て,助詞
、,記号
「,記号
名医,名詞
かも,助詞
知れ,動詞
ない,助動詞
わ,助詞
」,記号
と,助詞
おっしゃっ,動詞
た,助動詞
。,記号
熱,名詞
は,助詞
七,名詞
度,名詞
に,助詞
さ,動詞
がっ,動詞
て,助詞
い,動詞
た,助動詞
。,記号
私,名詞
は,助詞
うれしく,形容詞
、,記号
この,連体詞
村,名詞
に,助詞
たった,副詞
一,名詞
軒,名詞
の,助詞
宿屋,名詞
に,助詞
走っ,動詞
て,助詞
行き,動詞
、,記号
そこ,名詞
の,助詞
おかみ,名詞
さん,名詞
に,助詞
頼ん,動詞
で,助詞
、,記号
鶏卵,名詞
を,助詞
十,名詞
ばかり,助詞
わけ,動詞
て,助詞
もらい,動詞
、,記号
さっそく,副詞
半熟,名詞
に,助詞
し,動詞
て,助詞
お母さま,名詞
に,助詞
差し上げ,動詞
た,助動詞
。,記号
お母さま,名詞
は,助詞
半熟,名詞
を,助詞
三つ,名詞
と,助詞
、,記号
それから,接続詞
おかゆ,名詞
を,助詞
お,接頭詞
茶碗,名詞
に,助詞
半分,名詞
ほど,助詞
いただい,動詞
た,助動詞
。,記号
あくる,連体詞
日,名詞
、,記号
村,名詞
の,助詞
名医,名詞
が,助詞
、,記号
また,接続詞
白,名詞
足袋,名詞
を,助詞
はい,動詞
て,助詞
お,接頭詞
見え,名詞
に,助詞
なり,動詞
、,記号
私,名詞
が,助詞
昨日,名詞
の,助詞
強い,形容詞
注射,名詞
の,助詞
御礼,名詞
を,助詞
申し上げ,動詞
たら,助動詞
、,記号
効く,動詞
の,名詞
は,助詞
当然,副詞
、,記号
という,助詞
よう,名詞
な,助動詞
お,接頭詞
顔,名詞
で,助詞
深く,形容詞
うなずき,動詞
、,記号
ていねい,名詞
に,助詞
ご,接頭詞
診察,名詞
なさっ,動詞
て,助詞
、,記号
そう,副詞
し,動詞
て,助詞
私,名詞
の,助詞
ほう,名詞
に,助詞
向き直り,動詞
、,記号
「,記号
大,接頭詞
奥さま,名詞
は,助詞
、,記号
もはや,副詞
御,接頭詞
病気,名詞
で,助詞
は,助詞
ござい,助動詞
ませ,助動詞
ん,助動詞
。,記号
で,助動詞
ござい,助動詞
ます,助動詞
から,助詞
、,記号
これから,副詞
は,助詞
、,記号
何,名詞
を,助詞
お,接頭詞
あがり,動詞
に,助詞
なっ,動詞
て,助詞
も,助詞
、,記号
何,名詞
を,助詞
なさっ,動詞
て,助詞
も,助詞
よろしゅう,形容詞
ござい,助動詞
ます,助動詞
」,記号
と,助詞
、,記号
やはり,副詞
、,記号
へん,助動詞
な,助詞
言い,動詞
かた,名詞
を,助詞
なさる,動詞
ので,助詞
、,記号
私,名詞
は,助詞
噴き出し,動詞
たい,助動詞
の,名詞
を,助詞
怺,名詞
える,動詞
のに,助詞
骨,名詞
が,助詞
折れ,動詞
た,助動詞
。,記号
先生,名詞
を,助詞
玄関,名詞
まで,助詞
お送り,名詞
し,動詞
て,助詞
、,記号
お座敷,名詞
に,助詞
引返し,動詞
て,助詞
来,動詞
て,助詞
見る,動詞
と,助詞
、,記号
お母さま,名詞
は,助詞
、,記号
お,接頭詞
床,名詞
の,助詞
上,名詞
に,助詞
お,接頭詞
坐り,名詞
に,助詞
なっ,動詞
て,助詞
い,動詞
らし,助動詞
て,助詞
、,記号
「,記号
本当に,副詞
名医,名詞
だ,助動詞
わ,助詞
。,記号
私,名詞
は,助詞
、,記号
もう,副詞
、,記号
病気,名詞
じゃ,助詞
ない,助動詞
」,記号
と,助詞
、,記号
とても,副詞
楽し,形容詞
そう,名詞
な,助動詞
お,接頭詞
顔,名詞
を,助詞
し,動詞
て,助詞
、,記号
うっとり,副詞
と,助詞
ひとり,名詞
ごと,名詞
の,助詞
よう,名詞
に,助詞
おっしゃっ,動詞
た,助動詞
。,記号
「,記号
お母さま,名詞
、,記号
障子,名詞
を,助詞
あけ,動詞
ましょ,助動詞
う,助動詞
か,助詞
。,記号
雪,名詞
が,助詞
降っ,動詞
て,助詞
いる,動詞
の,助詞
よ,助詞
」,記号
花びら,名詞
の,助詞
よう,名詞
な,助動詞
大きい,形容詞
牡丹雪,名詞
が,助詞
、,記号
ふわり,副詞
ふわり,副詞
降り,動詞
はじめ,動詞
て,助詞
い,動詞
た,助動詞
の,名詞
だ,助動詞
。,記号
私,名詞
は,助詞
、,記号
障子,名詞
を,助詞
あけ,動詞
、,記号
お母さま,名詞
と,助詞
並ん,動詞
で,助詞
坐り,名詞
、,記号
硝子,名詞
戸,名詞
越し,名詞
に,助詞
伊豆,名詞
の,助詞
雪,名詞
を,助詞
眺め,動詞
た,助動詞
。,記号
「,記号
もう,副詞
病気,名詞
じゃ,助詞
ない,助動詞
」,記号
と,助詞
、,記号
お母さま,名詞
は,助詞
、,記号
また,接続詞
ひとり,名詞
ごと,名詞
の,助詞
よう,名詞
に,助詞
おっしゃっ,動詞
て,助詞
、,記号
「,記号
こうして,接続詞
坐っ,動詞
て,助詞
いる,動詞
と,助詞
、,記号
以前,名詞
の,助詞
事,名詞
が,助詞
、,記号
皆,名詞
ゆめ,副詞
だっ,助動詞
た,助動詞
よう,名詞
な,助動詞
気,名詞
が,助詞
する,動詞
。,記号
私,名詞
は,助詞
本当は,副詞
、,記号
引越し,名詞
間際,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
伊豆,名詞
へ,助詞
来る,動詞
の,名詞
が,助詞
、,記号
どうしても,副詞
、,記号
なんと,副詞
し,動詞
て,助詞
も,助詞
、,記号
いや,名詞
に,助詞
なっ,動詞
て,助詞
しまっ,動詞
た,助動詞
の,助詞
。,記号
西片,名詞
町,名詞
の,助詞
あの,連体詞
お家,名詞
に,助詞
、,記号
一,名詞
日,名詞
でも,助詞
半日,名詞
で,助詞
も,助詞
永く,形容詞
い,動詞
たかっ,助動詞
た,助動詞
の,助詞
。,記号
汽車,名詞
に,助詞
乗っ,動詞
た,助動詞
時,名詞
に,助詞
は,助詞
、,記号
半分,名詞
死ん,動詞
で,助詞
いる,動詞
よう,名詞
な,助動詞
気持,名詞
で,助詞
、,記号
ここ,名詞
に,助詞
着い,動詞
た,助動詞
時,名詞
も,助詞
、,記号
はじめ,名詞
ちょっと,副詞
楽しい,形容詞
よう,名詞
な,助動詞
気分,名詞
が,助詞
し,動詞
た,助動詞
けど,助詞
、,記号
薄暗く,形容詞
なっ,動詞
たら,助動詞
、,記号
もう,副詞
東京,名詞
が,助詞
こいしく,形容詞
て,助詞
、,記号
胸,名詞
が,助詞
こげる,動詞
よう,名詞
で,助動詞
、,記号
気,名詞
が,助詞
遠く,形容詞
なっ,動詞
て,助詞
しまっ,動詞
た,助動詞
の,助詞
。,記号
普通,名詞
の,助詞
病気,名詞
じゃ,助詞
ない,助動詞
ん,名詞
です,助動詞
。,記号
神さま,名詞
が,助詞
私,名詞
を,助詞
いちど,名詞
お,接頭詞
殺し,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
それから,接続詞
昨日,名詞
まで,助詞
の,助詞
私,名詞
と,助詞
違う,動詞
私,名詞
に,助詞
し,動詞
て,助詞
、,記号
よみがえら,動詞
せ,動詞
て,助詞
下さっ,動詞
た,助動詞
の,名詞
だ,助動詞
わ,助詞
」,記号
それから,接続詞
、,記号
きょう,名詞
まで,助詞
、,記号
私,名詞
たち,名詞
二,名詞
人,名詞
きり,名詞
の,助詞
山荘,名詞
生活,名詞
が,助詞
、,記号
まあ,副詞
、,記号
どうやら,副詞
事,名詞
も,助詞
無く,形容詞
、,記号
安穏,名詞
に,助詞
つづい,動詞
て,助詞
来,動詞
た,助動詞
の,名詞
だ,助動詞
。,記号
部落,名詞
の,助詞
人,名詞
たち,名詞
も,助詞
私,名詞
たち,名詞
に,助詞
親切,名詞
に,助詞
し,動詞
て,助詞
くれ,動詞
た,助動詞
。,記号
ここ,名詞
へ,助詞
引越し,動詞
て,助詞
来,動詞
た,助動詞
の,名詞
は,助詞
、,記号
去年,名詞
の,助詞
十二月,名詞
、,記号
それから,接続詞
、,記号
一月,名詞
、,記号
二月,名詞
、,記号
三月,名詞
、,記号
四月,名詞
の,助詞
きょう,名詞
